Engine Size,Fuel Type,Vehicle Weight,Number of Cylinders,Fuel Consumption
3.0,Petrol,2046,8,7.5
3.6,Diesel,1974,4,10.5
1.3,Diesel,881,6,16.2
3.7,Diesel,2083,8,8.0
2.3,Petrol,1815,4,11.4
1.8,Diesel,1841,6,13.3
4.5,Diesel,1205,8,8.2
3.6,Diesel,1386,8,9.6
2.7,Petrol,1313,6,10.6
1.6,Diesel,1200,4,16.0
1.7,Diesel,1174,8,13.9
3.3,Diesel,1149,6,11.7
2.2,Diesel,2000,8,11.2
3.4,Diesel,1226,4,12.3
2.3,Diesel,2333,8,10.3
2.9,Petrol,1936,6,8.9
3.4,Diesel,1817,8,9.2
3.0,Diesel,1080,4,13.4
1.9,Petrol,1943,4,11.9
2.5,Diesel,950,6,13.7
1.5,Diesel,1210,8,14.2
1.2,Diesel,898,6,16.4
2.7,Diesel,1004,4,14.2
4.6,Diesel,1022,4,10.4
4.9,Diesel,1561,6,7.7
2.8,Diesel,2154,8,9.7
1.2,Petrol,1811,8,11.6
4.2,Diesel,1893,6,8.4
3.8,Petrol,1058,8,7.9
3.0,Diesel,1819,6,11.0
1.7,Petrol,2360,4,11.5
2.0,Petrol,2022,6,10.6
2.9,Diesel,1767,6,11.3
3.2,Diesel,871,6,12.5
4.4,Petrol,1736,6,6.3
3.8,Petrol,1124,8,7.8
4.8,Diesel,974,8,8.1
4.2,Diesel,1136,6,9.9
1.6,Petrol,2428,4,11.5
3.0,Diesel,2444,6,9.7
3.3,Diesel,1023,4,13.0
1.7,Petrol,2099,8,10.0
4.9,Diesel,2264,6,6.3
2.9,Diesel,1687,4,12.4
1.5,Petrol,1103,8,12.4
1.9,Diesel,2005,6,12.8
4.8,Diesel,2046,8,5.9
2.9,Diesel,1168,8,11.5
3.0,Diesel,822,4,14.0
1.5,Petrol,1674,8,11.3
2.9,Diesel,2151,6,10.5
4.7,Petrol,1366,4,7.5
2.4,Petrol,2246,6,9.3
1.5,Petrol,1138,6,13.3
3.8,Petrol,2102,4,7.8
2.5,Petrol,1340,6,10.9
3.9,Diesel,1354,4,11.1
2.4,Petrol,1235,6,11.3
4.7,Petrol,1963,4,6.3
4.9,Petrol,1249,6,6.3
5.0,Diesel,869,4,9.9
4.4,Diesel,2452,4,7.9
3.5,Petrol,1933,8,6.7
2.1,Diesel,954,4,15.5
4.4,Diesel,1725,4,9.3
1.7,Diesel,1445,6,14.3
4.0,Diesel,1320,8,9.0
2.6,Petrol,1466,6,10.5
4.0,Petrol,1515,6,7.6
2.7,Petrol,864,6,11.5
4.5,Diesel,1795,4,9.0
1.7,Diesel,901,8,14.4
2.8,Diesel,909,6,13.2
1.2,Diesel,1052,4,17.1
1.4,Petrol,966,6,13.9
2.1,Petrol,1681,4,12.0
2.2,Diesel,1013,8,13.2
2.2,Diesel,821,6,14.6
2.2,Diesel,1695,8,11.8
1.7,Petrol,811,4,14.6
2.5,Petrol,1339,8,9.9
1.8,Diesel,1204,4,15.6
4.9,Diesel,1813,6,7.2
4.7,Petrol,2340,4,5.5
5.0,Petrol,826,8,5.9
4.8,Diesel,1705,6,7.6
2.9,Diesel,1467,6,11.9
4.6,Petrol,1179,6,7.0
3.6,Petrol,1152,4,10.1
2.4,Diesel,2453,8,9.9
1.9,Diesel,1359,6,14.1
1.7,Petrol,2476,6,10.2
1.3,Petrol,1153,6,13.7
3.7,Petrol,1828,6,7.5
2.7,Diesel,1925,8,10.3
2.9,Diesel,1901,8,10.0
4.1,Petrol,1749,4,7.9
2.9,Petrol,2387,8,7.0
4.4,Petrol,831,6,8.1
2.5,Petrol,2493,8,7.6
3.4,Petrol,2394,6,7.0
4.9,Petrol,1195,8,5.4
3.6,Diesel,2024,6,9.4
1.6,Petrol,1313,6,12.8
2.9,Petrol,2237,8,7.3
3.8,Petrol,1345,8,7.3
3.4,Petrol,1354,6,9.1
1.2,Diesel,1519,8,14.2
2.2,Petrol,1596,4,12.0
4.3,Diesel,2227,8,6.5
2.1,Petrol,958,4,13.5
2.9,Petrol,828,8,10.1
2.9,Petrol,1513,4,10.8
1.8,Diesel,1062,4,15.9
2.7,Petrol,1181,6,10.8
3.6,Petrol,890,6,9.6
3.2,Petrol,1964,8,7.3
3.2,Diesel,2019,8,9.2
1.5,Petrol,2257,6,11.1
2.7,Diesel,1271,8,11.7
3.9,Petrol,2354,4,7.1
3.4,Petrol,1142,6,9.5
2.1,Diesel,823,6,14.8
2.7,Petrol,1693,6,9.8
3.1,Diesel,2423,6,9.6
3.3,Petrol,2191,4,8.6
2.4,Petrol,1433,4,11.9
1.6,Diesel,1620,6,14.2
3.0,Petrol,2356,4,8.9
2.4,Diesel,1711,4,13.4
1.1,Petrol,1724,4,14.0
4.8,Petrol,2191,8,5.0
2.7,Diesel,1401,4,13.4
2.4,Diesel,1165,8,12.5
1.8,Diesel,2441,6,12.1
2.4,Diesel,1226,6,13.3
4.2,Petrol,1186,6,7.8
3.4,Petrol,2268,4,8.3
3.0,Diesel,1115,6,12.4
